distribution,algorithm,variant,size_label,size,condition,runs,time_min_s,time_avg_s,time_max_s,memory_mb,comparisons,swaps,stable_verified,known_stable,complexity_best,complexity_avg,complexity_worst,complexity_space,status
sequential,Quick Sort (iter),iterative,20,20,random,50,0.00005060,0.00005182,0.00007670,0.0002,139,71,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,20,20,random,50,0.00004800,0.00006230,0.00009220,0.0002,139,71,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,20,20,random,50,0.00005190,0.00007385,0.00018520,0.0003,63,128,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,20,20,random,50,0.00005390,0.00005706,0.00014000,0.0003,68,132,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,20,20,random,50,0.00004990,0.00005269,0.00009510,0.0002,119,72,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,20,20,random,50,0.00006030,0.00006759,0.00012740,0.0002,169,86,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,20,20,random,50,0.00004860,0.00006254,0.00015510,0.0002,190,18,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,20,20,random,50,0.00003680,0.00003772,0.00004760,0.0002,103,86,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,20,20,random,50,0.00005660,0.00006535,0.00018240,0.0002,154,86,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,20,20,random,50,0.00000770,0.00001110,0.00003330,0.0003,20,20,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,20,20,random,50,0.00001840,0.00002738,0.00006640,0.0005,0,40,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,20,20,random,50,0.00003700,0.00004230,0.00008480,0.0002,103,86,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,20,20,sorted,50,0.00005080,0.00005175,0.00006370,0.0002,140,71,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,20,20,sorted,50,0.00004780,0.00005608,0.00016920,0.0002,140,71,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,20,20,sorted,50,0.00004860,0.00005870,0.00011860,0.0003,48,128,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,20,20,sorted,50,0.00005080,0.00005261,0.00008080,0.0003,52,132,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,20,20,sorted,50,0.00005280,0.00006121,0.00017520,0.0002,121,80,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,20,20,sorted,50,0.00000470,0.00000610,0.00002260,0.0002,19,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,20,20,sorted,50,0.00004710,0.00004967,0.00009520,0.0002,190,10,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,20,20,sorted,50,0.00000470,0.00000485,0.00000740,0.0002,19,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,20,20,sorted,50,0.00000460,0.00000476,0.00000740,0.0002,19,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,20,20,sorted,50,0.00000770,0.00000803,0.00001400,0.0003,20,20,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,20,20,sorted,50,0.00001860,0.00001897,0.00002760,0.0005,0,40,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,20,20,sorted,50,0.00000500,0.00000685,0.00001530,0.0002,19,0,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,20,20,reverse,50,0.00005110,0.00005202,0.00006660,0.0002,137,72,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,20,20,reverse,50,0.00004780,0.00005087,0.00012000,0.0002,137,72,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,20,20,reverse,50,0.00004690,0.00004776,0.00005900,0.0003,40,128,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,20,20,reverse,50,0.00004840,0.00005868,0.00011770,0.0003,40,132,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,20,20,reverse,50,0.00004390,0.00005775,0.00011830,0.0002,105,62,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,20,20,reverse,50,0.00009830,0.00009938,0.00010890,0.0002,190,190,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,20,20,reverse,50,0.00004400,0.00004894,0.00011300,0.0002,190,0,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,20,20,reverse,50,0.00008120,0.00008777,0.00016080,0.0002,190,190,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,20,20,reverse,50,0.00009880,0.00010475,0.00016670,0.0002,190,190,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,20,20,reverse,50,0.00000780,0.00001326,0.00004460,0.0003,20,20,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,20,20,reverse,50,0.00001850,0.00002166,0.00005080,0.0005,0,40,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,20,20,reverse,50,0.00008170,0.00008940,0.00015190,0.0002,190,190,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,20,20,nearly_sorted,50,0.00005080,0.00005292,0.00011520,0.0002,141,70,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,20,20,nearly_sorted,50,0.00004790,0.00004913,0.00006240,0.0002,141,70,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,20,20,nearly_sorted,50,0.00004830,0.00005521,0.00010260,0.0003,48,128,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,20,20,nearly_sorted,50,0.00005070,0.00008447,0.00011730,0.0003,52,132,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,20,20,nearly_sorted,50,0.00005230,0.00005676,0.00011490,0.0002,121,79,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,20,20,nearly_sorted,50,0.00000910,0.00000939,0.00001230,0.0002,37,1,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,20,20,nearly_sorted,50,0.00004730,0.00004937,0.00008070,0.0002,190,11,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,20,20,nearly_sorted,50,0.00000520,0.00000695,0.00002710,0.0002,20,1,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,20,20,nearly_sorted,50,0.00000900,0.00001092,0.00003710,0.0002,37,1,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,20,20,nearly_sorted,50,0.00000770,0.00000917,0.00002110,0.0003,20,20,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,20,20,nearly_sorted,50,0.00001860,0.00002093,0.00003260,0.0005,0,40,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,20,20,nearly_sorted,50,0.00000540,0.00000781,0.00001320,0.0002,20,1,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,20,20,all_identical,50,0.00000900,0.00001026,0.00002060,0.0002,43,0,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,20,20,all_identical,50,0.00000880,0.00000925,0.00001730,0.0002,43,0,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,20,20,all_identical,50,0.00004830,0.00005121,0.00010530,0.0003,48,128,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,20,20,all_identical,50,0.00005050,0.00005381,0.00009510,0.0003,52,132,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,20,20,all_identical,50,0.00001970,0.00002322,0.00004860,0.0002,54,19,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,20,20,all_identical,50,0.00000470,0.00000677,0.00002940,0.0002,19,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,20,20,all_identical,50,0.00004400,0.00005412,0.00011410,0.0002,190,0,stable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,20,20,all_identical,50,0.00000460,0.00000803,0.00002680,0.0002,19,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,20,20,all_identical,50,0.00000460,0.00000608,0.00002760,0.0002,19,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,20,20,all_identical,50,0.00001000,0.00001232,0.00003790,0.0002,20,20,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,20,20,all_identical,50,0.00000070,0.00000100,0.00000340,0.0002,0,0,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,20,20,all_identical,50,0.00000490,0.00000607,0.00000920,0.0002,19,0,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,50,50,random,50,0.00019740,0.00022086,0.00040270,0.0004,458,248,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,50,50,random,50,0.00019230,0.00021164,0.00041740,0.0004,458,248,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,50,50,random,50,0.00017030,0.00017924,0.00028010,0.0008,217,419,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,50,50,random,50,0.00017050,0.00020434,0.00040550,0.0008,221,427,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,50,50,random,50,0.00020420,0.00022394,0.00043230,0.0004,423,252,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,50,50,random,50,0.00050160,0.00053939,0.00079130,0.0004,1219,450,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,50,50,random,50,0.00037230,0.00040896,0.00060250,0.0004,1225,45,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,50,50,random,50,0.00023520,0.00026847,0.00046900,0.0004,497,450,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,50,50,random,50,0.00036130,0.00040432,0.00067160,0.0004,790,450,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,50,50,random,50,0.00001670,0.00001980,0.00003990,0.0008,50,50,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,50,50,random,50,0.00003680,0.00003798,0.00006040,0.0012,0,100,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,50,50,random,50,0.00016610,0.00019211,0.00037620,0.0008,358,320,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,50,50,sorted,50,0.00019540,0.00025658,0.00114110,0.0004,462,246,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,50,50,sorted,50,0.00019060,0.00021391,0.00036070,0.0004,462,246,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,50,50,sorted,50,0.00015270,0.00016564,0.00033450,0.0008,153,419,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,50,50,sorted,50,0.00015530,0.00018579,0.00040000,0.0008,161,427,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,50,50,sorted,50,0.00021560,0.00024774,0.00045670,0.0004,434,270,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,50,50,sorted,50,0.00001130,0.00001347,0.00004120,0.0004,49,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,50,50,sorted,50,0.00036980,0.00042620,0.00068420,0.0004,1225,25,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,50,50,sorted,50,0.00001220,0.00001454,0.00004320,0.0004,49,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,50,50,sorted,50,0.00001100,0.00001167,0.00002720,0.0004,49,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,50,50,sorted,50,0.00001660,0.00002124,0.00005960,0.0008,50,50,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,50,50,sorted,50,0.00003690,0.00004641,0.00009550,0.0012,0,100,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,50,50,sorted,50,0.00003100,0.00003398,0.00006710,0.0008,80,50,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,50,50,reverse,50,0.00018920,0.00019963,0.00031710,0.0004,442,236,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,50,50,reverse,50,0.00018290,0.00018579,0.00021040,0.0004,442,236,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,50,50,reverse,50,0.00014780,0.00017806,0.00029320,0.0008,133,419,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,50,50,reverse,50,0.00014780,0.00015579,0.00023480,0.0008,133,427,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,50,50,reverse,50,0.00017390,0.00017918,0.00021390,0.0004,379,207,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,50,50,reverse,50,0.00083260,0.00095265,0.00125930,0.0004,1225,1225,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,50,50,reverse,50,0.00036180,0.00037394,0.00063740,0.0004,1225,0,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,50,50,reverse,50,0.00074690,0.00083746,0.00120840,0.0004,1225,1225,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,50,50,reverse,50,0.00070700,0.00081555,0.00140350,0.0004,1225,1225,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
